,Case Number,Charge Number,Description,Statute,Level,Date
0,C1909455,1,RAPE OF A CHILD,39-13-522,Felony A,07/20/2019
1,C1909455,2,AGGRAVATED SEXUAL BATTERY,39-13-504,Felony B,07/20/2019
2,C1802145,1,AGGRAVATED BURGLARY-ACT IN CONCERT,39-14-403,Felony B,04/30/2017
3,C1802145,2,AGGRAVATED ASSAULT,39-13-102,Felony C,04/30/2017
4,C1802145,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,07/25/2019
5,C1809571,1,POSS OF CONT SUBSTANCE MARIJUANA,39-17-418,Misdemeanor A,09/17/2017
6,C1809571,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,09/17/2017
7,C1809571,3,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,09/17/2017
8,C1809571,4,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,09/17/2017
9,C1809571,5,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,09/17/2017
10,C1809571,6,DRIVING WHILE LICENSE S/R/C,55-50-504,Misdemeanor B,09/17/2017
11,C1809571,7,RECKLESS DRIVING,55-10-205,Misdemeanor B,09/17/2017
12,C1809571,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,07/25/2019
13,C1910146,1,UNLAWFUL CARRYING OR POSSESSION OF A WEAPON,39-17-1307,Felony B,04/20/2019
14,C1910146,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,04/20/2019
15,C1910146,3,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,04/20/2019
16,C1910146,4,FAILURE TO STOP/LEAVING THE SCENE,55-10-102,Misdemeanor A,04/20/2019
17,C1910146,5,FAILURE TO STOP/LEAVING THE SCENE,55-10-102,Misdemeanor A,04/20/2019
18,C1910146,6,RECKLESS DRIVING,55-10-205,Misdemeanor B,04/20/2019
19,C1910146,7,DRIVING U/INFLUENCE INTOX/DRUGS EQUAL OR GREATER THAN 4,55-10-401,Felony E,04/20/2019
20,C2101702,1,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,02/23/2020
21,C2101702,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,02/23/2020
22,C2101702,3,RECKLESS DRIVING,55-10-205,Misdemeanor B,02/23/2020
23,C2101702,4,POSS OF HANDGUN WHILE INTOXICATED,39-17-1321,Misdemeanor A,02/23/2020
24,C1703427,1,CRIMINAL ATTEMPT-CHILD ABUSE/NEG U/6 YRS,39-15-401,Felony E,01/01/2016
25,C2002582,1,AGGRAVATED CHILD ABUSE-CHILD U/6,39-15-402,Felony A,01/22/2018
26,C2002582,2,AGGRAVATED CHILD ABUSE-CHILD U/6,39-15-402,Felony A,01/22/2018
27,C2101423,1,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,01/10/2020
28,C2101423,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,01/10/2020
29,C2101423,3,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,01/10/2020
